attribute_name,attribute_value,fpr,for,fnr,fpr_disparity,for_disparity,fnr_disparity
age,17.00-27.00,0.002526847757422615,0.019254658385093167,0.62,0.04996367156721989,0.1503354481605351,1.3762647362637361
age,27.00-37.00,0.05057471264367816,0.12807881773399016,0.4504950495049505,1.000001,1.000001,1.000001
age,37.00-48.00,0.07085828343313373,0.21566975568660487,0.4050632911392405,1.4010625133369623,1.683884092476184,0.8991524814299624
age,48.00-90.00,0.05263157894736842,0.1965665236051502,0.4209558823529412,1.04067085645933,1.5347319343017494,0.9344305410471881
workclass, ?,0.012944983818770227,0.046875,0.42857142857142855,0.40730566944059177,0.37938639501039495,0.9337699337689338
workclass, Federal-gov,0.08181818181818182,0.2230769230769231,0.4264705882352941,2.5743516493506498,1.8054863670238286,0.9291926350739881
workclass, Local-gov,0.051094890510948905,0.14754098360655737,0.3543307086614173,1.6076652335766424,1.194132079376981,0.7720146853995122
workclass, Never-worked,0.0,0.0,,1e-06,1e-06,1e-06
workclass, Private,0.03178206583427923,0.12355509889545338,0.45896946564885494,1.000001,1.000001,1.000001
workclass, Self-emp-inc,0.18085106382978725,0.3063063063063063,0.26153846153846155,5.690350544072949,2.479107965593452,0.5698394775307853
workclass, Self-emp-not-inc,0.07161803713527852,0.1566265060240964,0.43333333333333335,2.253411382720728,1.2676662556170628,0.9441451441441443
workclass, State-gov,0.053475935828877004,0.1407766990291262,0.4027777777777778,1.6825831237585942,1.1393849694810567,0.8775708775698777
workclass, Without-pay,0.0,0.0,,1e-06,1e-06,1e-06
fnlgt,118844.00-179692.50,0.036317567567567564,0.12834224598930483,0.3792325056433409,1.000001,1.000001,1.000001
fnlgt,179692.50-240152.50,0.04228855721393035,0.14381022979985175,0.46080760095011875,1.1644115056114777,1.1205223738571781,1.2151067572672773
fnlgt,19847.00-118844.00,0.0394842868654311,0.12159174649963155,0.4274611398963731,1.0871962476434982,0.9474033581429624,1.1271753153219837
fnlgt,240152.50-1484705.00,0.040096230954290296,0.125,0.45,1.1040460569739468,0.9739593333333333,1.1866081428571427
education, 10th,0.0,0.038461538461538464,0.875,1e-06,0.31935787263556115,1.1726444426229508
education, 11th,0.0,0.045662100456621,0.8333333333333334,1e-06,0.3791461455947301,1.1168042786885246
education, 12th,0.0,0.05263157894736842,0.7142857142857143,1e-06,0.4370156678170836,0.9572609531615925
education, 1st-4th,0.0,0.08,1.0,1e-06,0.6642632950819672,1.3401649344262294
education, 5th-6th,0.0,0.03333333333333333,0.5,1e-06,0.27677695628415294,0.6700829672131148
education, 7th-8th,0.008547008547008548,0.04918032786885246,0.8571428571428571,10.000001,0.40835896828809454,1.1487129437939108
education, 9th,0.0,0.04854368932038835,1.0,1e-06,0.40307278099633925,1.3401649344262294
education, Assoc-acdm,0.01764705882352941,0.1971153846153846,0.6721311475409836,10.000001,1.6367049722572506,0.9007669231389411
education, Assoc-voc,0.011235955056179775,0.22807017543859648,0.6753246753246753,10.000001,1.8937312272073623,0.905046773898233
education, Bachelors,0.20926243567753003,0.15257352941176472,0.17184265010351968,10.000001,1.2668615351976855,0.23029832206496284
education, Doctorate,0.2916666666666667,0.41379310344827586,0.19672131147540983,10.000001,3.43584045732052,0.263639806772373
education, HS-grad,0.0,0.12043435340572557,0.746177370030581,1e-06,1.000001,1.000001
education, Masters,0.23841059602649006,0.17266187050359713,0.12307692307692308,10.000001,1.4336606296733105,0.16494425346784364
education, Preschool,0.0,0.0,,1e-06,1e-06,1e-06
education, Prof-school,0.35714285714285715,0.25,0.0989010989010989,10.000001,2.0758206721311474,0.13254468582237433
education, Some-college,0.0059931506849315065,0.14443625644804717,0.6758620689655173,10.000001,1.1992954900153423,0.9057669694742793
